from_stop_I,to_stop_I,label,d,n_vehicles
119,66,"[0, 0, 0, 1, 0]",361.0,159.0
119,111,"[0, 0, 0, 1, 0]",310.0,61.0
120,121,"[0, 0, 0, 1, 0]",268.0,46.0
120,124,"[0, 0, 0, 1, 0]",380.0,46.0
121,120,"[0, 0, 0, 1, 0]",268.0,46.0
121,2040,"[0, 0, 0, 1, 0]",280.0,92.0
122,124,"[0, 0, 0, 1, 0]",343.0,46.0
122,786,"[0, 0, 0, 1, 0]",332.0,46.0
123,121,"[0, 0, 0, 1, 0]",374.0,46.0
124,120,"[0, 0, 0, 1, 0]",380.0,46.0
124,122,"[0, 0, 0, 1, 0]",343.0,46.0
129,164,"[0, 0, 0, 1, 0]",451.0,67.0
129,2303,"[0, 0, 0, 1, 0]",1110.0,67.0
130,131,"[0, 0, 0, 1, 0]",316.0,71.0
130,1120,"[0, 0, 0, 1, 0]",243.0,75.0
131,32,"[0, 0, 0, 1, 0]",2168.0,36.0
131,130,"[0, 0, 0, 1, 0]",316.0,57.0
131,1000,"[0, 0, 0, 1, 0]",8494.0,33.0
131,2091,"[0, 0, 0, 1, 0]",16957.0,2.0
132,155,"[0, 0, 0, 1, 0]",333.0,34.0
134,130,"[0, 0, 0, 1, 0]",459.0,14.0
134,164,"[0, 0, 0, 1, 0]",1058.0,1.0
134,1000,"[0, 0, 0, 1, 0]",8329.0,25.0
134,2070,"[0, 0, 0, 1, 0]",2085.0,2.0
134,2462,"[0, 0, 0, 1, 0]",1431.0,24.0
144,155,"[0, 0, 0, 1, 0]",241.0,35.0
144,159,"[0, 0, 0, 1, 0]",629.0,31.0
144,164,"[0, 0, 0, 1, 0]",849.0,71.0
147,734,"[0, 0, 0, 1, 0]",3702.0,19.0
147,1542,"[0, 0, 0, 1, 0]",500.0,20.0
154,157,"[0, 0, 0, 1, 0]",360.0,154.0
154,1542,"[0, 0, 0, 1, 0]",417.0,153.0
155,132,"[0, 0, 0, 1, 0]",333.0,35.0
155,144,"[0, 0, 0, 1, 0]",241.0,34.0
157,154,"[0, 0, 0, 1, 0]",360.0,153.0
157,186,"[0, 0, 0, 1, 0]",2097.0,107.0
157,1904,"[0, 0, 0, 1, 0]",2114.0,47.0
159,144,"[0, 0, 0, 1, 0]",629.0,37.0
159,302,"[0, 0, 0, 1, 0]",1186.0,31.0
163,641,"[0, 0, 0, 1, 0]",1718.0,32.0
163,1126,"[0, 0, 0, 1, 0]",986.0,10.0
163,1769,"[0, 0, 0, 1, 0]",1985.0,57.0
164,129,"[0, 0, 0, 1, 0]",451.0,67.0
164,134,"[0, 0, 0, 1, 0]",1058.0,1.0
164,144,"[0, 0, 0, 1, 0]",849.0,66.0
164,1120,"[0, 0, 0, 1, 0]",475.0,78.0
167,220,"[0, 0, 0, 1, 0]",646.0,91.0
167,2352,"[0, 0, 0, 1, 0]",626.0,90.0
168,358,"[0, 0, 0, 1, 0]",5236.0,9.0
168,2259,"[0, 0, 0, 1, 0]",628.0,8.0
172,175,"[0, 0, 0, 1, 0]",363.0,14.0
173,175,"[0, 0, 0, 1, 0]",349.0,8.0
173,177,"[0, 0, 0, 1, 0]",804.0,34.0
173,1211,"[0, 0, 0, 1, 0]",6622.0,2.0
173,1283,"[0, 0, 0, 1, 0]",1969.0,29.0
173,1284,"[0, 0, 0, 1, 0]",1997.0,15.0
173,1729,"[0, 0, 0, 1, 0]",2534.0,9.0
174,99,"[0, 0, 0, 1, 0]",3156.0,10.0
174,1149,"[0, 0, 0, 1, 0]",2622.0,12.0
175,173,"[0, 0, 0, 1, 0]",349.0,24.0
177,172,"[0, 0, 0, 1, 0]",691.0,14.0
177,173,"[0, 0, 0, 1, 0]",804.0,20.0
177,1729,"[0, 0, 0, 1, 0]",1865.0,34.0
183,240,"[0, 0, 0, 1, 0]",754.0,43.0
183,772,"[0, 0, 0, 1, 0]",418.0,41.0
184,206,"[0, 0, 0, 1, 0]",446.0,60.0
184,208,"[0, 0, 0, 1, 0]",489.0,121.0
184,240,"[0, 0, 0, 1, 0]",285.0,62.0
185,188,"[0, 0, 0, 1, 0]",461.0,34.0
185,191,"[0, 0, 0, 1, 0]",547.0,35.0
186,157,"[0, 0, 0, 1, 0]",2097.0,105.0
186,187,"[0, 0, 0, 1, 0]",1574.0,107.0
187,186,"[0, 0, 0, 1, 0]",1574.0,105.0
187,188,"[0, 0, 0, 1, 0]",1208.0,35.0
187,674,"[0, 0, 0, 1, 0]",1315.0,72.0
188,185,"[0, 0, 0, 1, 0]",461.0,35.0
188,187,"[0, 0, 0, 1, 0]",1208.0,34.0
189,1578,"[0, 0, 0, 1, 0]",672.0,12.0
