from_stop_I,to_stop_I,label,d,n_vehicles
198,1926,"[0, 0, 0, 1, 0]",187.0,39.0
199,189,"[0, 0, 0, 1, 0]",752.0,27.0
199,3034,"[0, 0, 0, 1, 0]",688.0,24.0
200,461,"[0, 0, 0, 1, 0]",404.0,38.0
201,1815,"[0, 0, 0, 1, 0]",493.0,23.0
202,1837,"[0, 0, 0, 1, 0]",419.0,93.0
203,176,"[0, 0, 0, 1, 0]",338.0,47.0
204,959,"[0, 0, 0, 1, 0]",452.0,50.0
205,158,"[0, 0, 0, 1, 0]",227.0,35.0
206,2764,"[0, 0, 0, 1, 0]",169.0,104.0
207,1777,"[0, 0, 0, 1, 0]",305.0,13.0
208,70,"[0, 0, 0, 1, 0]",251.0,94.0
209,1680,"[0, 0, 0, 1, 0]",411.0,22.0
210,942,"[0, 0, 0, 1, 0]",252.0,14.0
211,564,"[0, 0, 0, 1, 0]",314.0,72.0
212,938,"[0, 0, 0, 1, 0]",503.0,22.0
213,263,"[0, 0, 0, 1, 0]",312.0,93.0
214,301,"[0, 0, 0, 1, 0]",254.0,44.0
214,1407,"[0, 0, 0, 1, 0]",493.0,101.0
215,401,"[0, 0, 0, 1, 0]",331.0,19.0
216,992,"[0, 0, 0, 1, 0]",158.0,139.0
217,1958,"[0, 0, 0, 1, 0]",281.0,27.0
218,1653,"[0, 0, 0, 1, 0]",362.0,54.0
219,457,"[0, 0, 0, 1, 0]",289.0,93.0
220,210,"[0, 0, 0, 1, 0]",379.0,14.0
221,2006,"[0, 0, 0, 1, 0]",320.0,96.0
222,1292,"[0, 0, 0, 1, 0]",407.0,64.0
223,715,"[0, 0, 0, 1, 0]",185.0,39.0
224,1918,"[0, 0, 0, 1, 0]",141.0,59.0
225,1251,"[0, 0, 0, 1, 0]",274.0,65.0
226,1473,"[0, 0, 0, 1, 0]",404.0,57.0
227,1959,"[0, 0, 0, 1, 0]",156.0,90.0
228,978,"[0, 0, 0, 1, 0]",198.0,78.0
229,2841,"[0, 0, 0, 1, 0]",448.0,12.0
230,573,"[0, 0, 0, 1, 0]",223.0,94.0
230,2120,"[0, 0, 0, 1, 0]",217.0,94.0
230,2690,"[0, 0, 0, 1, 0]",857.0,12.0
231,2219,"[0, 0, 0, 1, 0]",112.0,50.0
231,2321,"[0, 0, 0, 1, 0]",85.0,35.0
231,3226,"[0, 0, 0, 1, 0]",221.0,104.0
232,1835,"[0, 0, 0, 1, 0]",231.0,93.0
233,1679,"[0, 0, 0, 1, 0]",267.0,22.0
234,849,"[0, 0, 0, 1, 0]",283.0,87.0
235,1955,"[0, 0, 0, 1, 0]",164.0,62.0
236,1842,"[0, 0, 0, 1, 0]",200.0,116.0
237,2538,"[0, 0, 0, 1, 0]",61.0,29.0
237,2547,"[0, 0, 0, 1, 0]",388.0,93.0
237,2551,"[0, 0, 0, 1, 0]",67.0,49.0
238,58,"[0, 0, 0, 1, 0]",172.0,17.0
239,1525,"[0, 0, 0, 1, 0]",462.0,28.0
240,636,"[0, 0, 0, 1, 0]",172.0,27.0
241,579,"[0, 0, 0, 1, 0]",342.0,72.0
242,1201,"[0, 0, 0, 1, 0]",628.0,4.0
243,207,"[0, 0, 0, 1, 0]",208.0,13.0
244,626,"[0, 0, 0, 1, 0]",371.0,58.0
245,21,"[0, 0, 0, 1, 0]",366.0,83.0
