from_stop_I,to_stop_I,label,d,n_vehicles
128,129,"[0, 0, 1, 0, 0]",1093.0,44.0
128,144,"[0, 0, 1, 0, 0]",1409.0,34.0
129,130,"[0, 0, 1, 0, 0]",653.0,44.0
130,131,"[0, 0, 1, 0, 0]",1024.0,44.0
131,132,"[0, 0, 1, 0, 0]",1413.0,44.0
132,133,"[0, 0, 1, 0, 0]",1184.0,44.0
133,134,"[0, 0, 1, 0, 0]",745.0,44.0
134,135,"[0, 0, 1, 0, 0]",846.0,44.0
135,136,"[0, 0, 1, 0, 0]",816.0,44.0
136,137,"[0, 0, 1, 0, 0]",910.0,44.0
137,138,"[0, 0, 1, 0, 0]",719.0,44.0
138,139,"[0, 0, 1, 0, 0]",986.0,44.0
139,140,"[0, 0, 1, 0, 0]",660.0,44.0
140,141,"[0, 0, 1, 0, 0]",740.0,44.0
141,142,"[0, 0, 1, 0, 0]",854.0,36.0
142,143,"[0, 0, 1, 0, 0]",1319.0,36.0
144,145,"[0, 0, 1, 0, 0]",1238.0,34.0
145,146,"[0, 0, 1, 0, 0]",1562.0,34.0
146,147,"[0, 0, 1, 0, 0]",1000.0,34.0
148,149,"[0, 0, 1, 0, 0]",808.0,40.0
149,150,"[0, 0, 1, 0, 0]",1180.0,40.0
150,151,"[0, 0, 1, 0, 0]",1120.0,40.0
151,152,"[0, 0, 1, 0, 0]",665.0,40.0
152,153,"[0, 0, 1, 0, 0]",1829.0,40.0
153,154,"[0, 0, 1, 0, 0]",3108.0,40.0
154,155,"[0, 0, 1, 0, 0]",1336.0,40.0
155,156,"[0, 0, 1, 0, 0]",756.0,40.0
156,157,"[0, 0, 1, 0, 0]",1568.0,40.0
157,72,"[0, 0, 1, 0, 0]",2024.0,4.0
157,158,"[0, 0, 1, 0, 0]",1086.0,36.0
158,72,"[0, 0, 1, 0, 0]",940.0,36.0
159,160,"[0, 0, 1, 0, 0]",1058.0,35.0
160,161,"[0, 0, 1, 0, 0]",1532.0,40.0
161,162,"[0, 0, 1, 0, 0]",805.0,40.0
162,163,"[0, 0, 1, 0, 0]",1339.0,40.0
163,164,"[0, 0, 1, 0, 0]",3047.0,40.0
164,165,"[0, 0, 1, 0, 0]",1902.0,40.0
165,166,"[0, 0, 1, 0, 0]",661.0,40.0
166,167,"[0, 0, 1, 0, 0]",1118.0,40.0
167,168,"[0, 0, 1, 0, 0]",1174.0,40.0
168,169,"[0, 0, 1, 0, 0]",783.0,40.0
170,171,"[0, 0, 1, 0, 0]",824.0,25.0
171,172,"[0, 0, 1, 0, 0]",634.0,25.0
172,68,"[0, 0, 1, 0, 0]",2079.0,25.0
173,174,"[0, 0, 1, 0, 0]",639.0,25.0
